domain,org_id,source,confidence,as_of
la.gov,la-ots,curated,high,2026-09-15
state.la.us,la-ots,curated,high,2026-09-15
louisiana.gov,la-ots,curated,high,2026-09-15
doa.la.gov,la-ots,curated,high,2026-09-15
dotd.la.gov,la-dotd,curated,high,2026-09-15
511la.org,la-dotd,curated,high,2026-09-15
ldh.la.gov,la-ldh,curated,high,2026-09-15
dhh.la.gov,la-ldh,curated,high,2026-09-15
revenue.louisiana.gov,la-ldr,curated,high,2026-09-15
lsp.org,la-lsp,curated,high,2026-09-15
dps.louisiana.gov,la-lsp,curated,high,2026-09-15
lasc.org,la-lasc,curated,high,2026-09-15
legis.la.gov,la-legis,curated,high,2026-09-15
house.louisiana.gov,la-legis,curated,high,2026-09-15
senate.la.gov,la-legis,curated,high,2026-09-15
sos.la.gov,la-sos,curated,high,2026-09-15
sos.louisiana.gov,la-sos,curated,high,2026-09-15
geauxvote.com,la-sos,curated,high,2026-09-15
regents.la.gov,la-regents,curated,high,2026-09-15
loni.org,la-regents,curated,high,2026-09-15
brla.gov,la-ebr,curated,high,2026-09-15
brgov.com,la-ebr,curated,high,2026-09-15
ebrso.org,la-ebrso,curated,high,2026-09-15
jeffparish.net,la-jefferson,curated,high,2026-09-15
jeffparish.gov,la-jefferson,curated,high,2026-09-15
jpso.com,la-jpso,curated,high,2026-09-15
nola.gov,la-nola,curated,high,2026-09-15
opcso.org,la-opso,curated,high,2026-09-15
caddo.gov,la-caddo,curated,high,2026-09-15
shreveportla.gov,la-shreveport,curated,high,2026-09-15
lafayettela.gov,la-lafayette,curated,high,2026-09-15
stpgov.org,la-sttammany,curated,high,2026-09-15
stpso.com,la-stpso,curated,high,2026-09-15
calcasieuparish.gov,la-calcasieu,curated,high,2026-09-15
cppj.net,la-calcasieu,curated,high,2026-09-15
cityoflakecharles.com,la-lakecharles,curated,high,2026-09-15
bossierparishla.gov,la-bossier,curated,high,2026-09-15
bossiercity.org,la-bossiercity,curated,high,2026-09-15
oppj.org,la-ouachita,curated,high,2026-09-15
monroela.us,la-monroe,curated,high,2026-09-15
lsu.edu,la-lsu,curated,high,2026-09-15
lsuagcenter.com,la-lsu,curated,high,2026-09-15
lsuhsc.edu,la-lsuhsc,curated,high,2026-09-15
lsuhs.edu,la-lsuhsc,curated,high,2026-09-15
lsus.edu,la-lsus,curated,high,2026-09-15
lsua.edu,la-lsua,curated,high,2026-09-15
lsue.edu,la-lsue,curated,high,2026-09-15
pbrc.edu,la-pbrc,curated,high,2026-09-15
tulane.edu,la-tulane,curated,high,2026-09-15
loyno.edu,la-loyno,curated,high,2026-09-15
latech.edu,la-latech,curated,high,2026-09-15
ulm.edu,la-ulm,curated,high,2026-09-15
louisiana.edu,la-ull,curated,high,2026-09-15
subr.edu,la-subr,curated,high,2026-09-15
sus.edu,la-subr,curated,high,2026-09-15
nsula.edu,la-nsula,curated,high,2026-09-15
mcneese.edu,la-mcneese,curated,high,2026-09-15
nicholls.edu,la-nicholls,curated,high,2026-09-15
selu.edu,la-selu,curated,high,2026-09-15
uno.edu,la-uno,curated,high,2026-09-15
xula.edu,la-xula,curated,high,2026-09-15
dillard.edu,la-dillard,curated,high,2026-09-15
centenary.edu,la-centenary,curated,high,2026-09-15
gram.edu,la-gram,curated,high,2026-09-15
lctcs.edu,la-lctcs,curated,high,2026-09-15
bpcc.edu,la-bpcc,curated,high,2026-09-15
dcc.edu,la-delgado,curated,high,2026-09-15
rpcc.edu,la-rpcc,curated,high,2026-09-15
sowela.edu,la-sowela,curated,high,2026-09-15
fletcher.edu,la-fletcher,curated,high,2026-09-15
nunez.edu,la-nunez,curated,high,2026-09-15
cltcc.edu,la-cltcc,curated,high,2026-09-15
northshorecollege.edu,la-ntcc,curated,high,2026-09-15
suno.edu,la-suno,curated,high,2026-09-15
lcu.edu,la-lcu,curated,high,2026-09-15
franu.edu,la-franu,curated,high,2026-09-15
ochsner.org,la-ochsner,curated,high,2026-09-15
lcmchealth.org,la-lcmc,curated,high,2026-09-15
chnola.org,la-lcmc,curated,high,2026-09-15
umcno.org,la-lcmc,curated,high,2026-09-15
touro.com,la-lcmc,curated,high,2026-09-15
ejgh.org,la-lcmc,curated,high,2026-09-15
wjmc.org,la-lcmc,curated,high,2026-09-15
fmolhs.org,la-fmolhs,curated,high,2026-09-15
ololrmc.com,la-fmolhs,curated,high,2026-09-15
lourdesrmc.com,la-fmolhs,curated,high,2026-09-15
stfran.com,la-fmolhs,curated,high,2026-09-15
wkhs.com,la-wkhs,curated,high,2026-09-15
lafayettegeneral.com,la-lgh,curated,high,2026-09-15
tulanehealthcare.com,la-tulanemed,curated,high,2026-09-15
northoaks.org,la-northoaks,curated,high,2026-09-15
acadian.com,la-acadian,curated,high,2026-09-15
entergy.com,la-entergy,curated,high,2026-09-15
cleco.com,la-cleco,curated,high,2026-09-15
swepco.com,la-swepco,curated,high,2026-09-15
lus.org,la-lus,curated,high,2026-09-15
lusfiber.com,la-lus,curated,high,2026-09-15
swbno.org,la-swbno,curated,high,2026-09-15
