org_id,name,sector,jurisdiction,aliases,domains,contact_route,notes,source,as_of
la-ots,Louisiana Office of Technology Services,government,state,OTS;State of Louisiana Office of Technology Services;State of Louisiana;Division of Administration,la.gov;state.la.us;louisiana.gov;doa.la.gov,OTS/ESF-17,Shared state network and la.gov namespace; agency attribution needs the OTS CIDR drop-in,curated,2026-09-15
la-dotd,Louisiana Department of Transportation and Development,government|critical_infrastructure,state,DOTD;LA DOTD;Louisiana DOTD,dotd.la.gov;511la.org,OTS/ESF-17,Roads bridges ferries ITS,curated,2026-09-15
la-ldh,Louisiana Department of Health,government|healthcare,state,LDH;Louisiana Dept of Health;DHH;Department of Health and Hospitals,ldh.la.gov;dhh.la.gov,OTS/ESF-17,Formerly DHH,curated,2026-09-15
la-ldr,Louisiana Department of Revenue,government,state,LDR;Louisiana Dept of Revenue,revenue.louisiana.gov,OTS/ESF-17,,curated,2026-09-15
la-lsp,Louisiana State Police,government,state,LSP;Louisiana State Police;Department of Public Safety;DPS,lsp.org;dps.louisiana.gov,OTS/ESF-17,Includes LA Fusion Center,curated,2026-09-15
la-lasc,Louisiana Supreme Court,government,state,LASC;State of Louisiana Supreme Court;State of Louisiana Supreme Court - JA/CMIS;Judicial Administrator,lasc.org,OTS/ESF-17,Judicial branch runs its own network (JA/CMIS),curated,2026-09-15
la-legis,Louisiana Legislature,government,state,Louisiana State Legislature;Louisiana House of Representatives;Louisiana Senate;Legislative Fiscal Office,legis.la.gov;house.louisiana.gov;senate.la.gov,OTS/ESF-17,Legislative branch,curated,2026-09-15
la-sos,Louisiana Secretary of State,government,state,SOS;Secretary of State;Louisiana Dept of State,sos.la.gov;sos.louisiana.gov;geauxvote.com,OTS/ESF-17,Elections and corporations,curated,2026-09-15
la-regents,Louisiana Board of Regents / LONI,education|government,state,Board of Regents;LONI;Louisiana Optical Network Initiative;Louisiana Optical Network Infrastructure;Louisiana Board of Regents/Louisiana Optical Network Initiative (LONI),regents.la.gov;loni.org,OTS/ESF-17,LONI is the statewide research network; hosts several universities and PBRC,curated,2026-09-15
la-ebr,East Baton Rouge Parish / City of Baton Rouge,government,parish,City of Baton Rouge;City-Parish;EBR;East Baton Rouge Parish;City of Baton Rouge/Parish of East Baton Rouge,brla.gov;brgov.com,MS-ISAC,Consolidated city-parish,curated,2026-09-15
la-ebrso,East Baton Rouge Parish Sheriff's Office,government,parish,EBRSO;East Baton Rouge Sheriff,ebrso.org,MS-ISAC,,curated,2026-09-15
la-jefferson,Jefferson Parish Government,government,parish,Jefferson Parish;Parish of Jefferson;Jefferson Parish Council,jeffparish.net;jeffparish.gov,MS-ISAC,,curated,2026-09-15
la-jpso,Jefferson Parish Sheriff's Office,government,parish,JPSO;Jefferson Parish Sheriff,jpso.com,MS-ISAC,,curated,2026-09-15
la-nola,City of New Orleans,government,municipal,City of New Orleans;Orleans Parish;NOLA;New Orleans,nola.gov,MS-ISAC,Consolidated with Orleans Parish,curated,2026-09-15
la-opso,Orleans Parish Sheriff's Office,government,parish,OPSO;Orleans Parish Sheriff;Orleans Parish Criminal Sheriff,opcso.org,MS-ISAC,,curated,2026-09-15
la-caddo,Caddo Parish Commission,government,parish,Caddo Parish;Parish of Caddo,caddo.gov,MS-ISAC,,curated,2026-09-15
la-shreveport,City of Shreveport,government,municipal,City of Shreveport;Shreveport,shreveportla.gov,MS-ISAC,,curated,2026-09-15
la-lafayette,Lafayette Consolidated Government,government,parish,LCG;Lafayette Consolidated Government;City of Lafayette;Lafayette Parish;Lafayette City-Parish,lafayettela.gov,MS-ISAC,Consolidated city-parish; LUS is a department (see la-lus),curated,2026-09-15
la-sttammany,St. Tammany Parish Government,government,parish,St. Tammany Parish;St Tammany Parish;Parish of St. Tammany,stpgov.org,MS-ISAC,,curated,2026-09-15
la-stpso,St. Tammany Parish Sheriff's Office,government,parish,STPSO;St. Tammany Parish Sheriff;St Tammany Sheriff,stpso.com,MS-ISAC,,curated,2026-09-15
la-calcasieu,Calcasieu Parish Police Jury,government,parish,Calcasieu Parish;Calcasieu Parish Police Jury;CPPJ,calcasieuparish.gov;cppj.net,MS-ISAC,,curated,2026-09-15
la-lakecharles,City of Lake Charles,government,municipal,City of Lake Charles;Lake Charles,cityoflakecharles.com,MS-ISAC,,curated,2026-09-15
la-bossier,Bossier Parish Police Jury,government,parish,Bossier Parish;Bossier Parish Police Jury,bossierparishla.gov,MS-ISAC,,curated,2026-09-15
la-bossiercity,City of Bossier City,government,municipal,Bossier City;City of Bossier City,bossiercity.org,MS-ISAC,,curated,2026-09-15
la-ouachita,Ouachita Parish Police Jury,government,parish,Ouachita Parish;Ouachita Parish Police Jury;OPPJ,oppj.org,MS-ISAC,,curated,2026-09-15
la-monroe,City of Monroe,government,municipal,City of Monroe;Monroe Louisiana,monroela.us,MS-ISAC,,curated,2026-09-15
la-lsu,Louisiana State University,education,state,LSU;LSU A&M;Louisiana State University and Agricultural and Mechanical College;LSU AgCenter,lsu.edu;lsuagcenter.com,direct,Flagship; AS2055,curated,2026-09-15
la-lsuhsc,LSU Health Sciences Center,education|healthcare,state,LSUHSC;LSU Health;LSU Health New Orleans;LSU Health Shreveport;Louisiana State University Health Sciences Center;LSU Health Sciences Center;LSU Health Sciences Center - Shreveport;LSU Medical,lsuhsc.edu;lsuhs.edu,direct,New Orleans and Shreveport campuses,curated,2026-09-15
la-lsus,LSU Shreveport,education,state,LSUS;Louisiana State University Shreveport,lsus.edu,direct,,curated,2026-09-15
la-lsua,LSU Alexandria,education,state,LSUA;Louisiana State University Alexandria;Louisiana State University at Alexandria,lsua.edu,direct,,curated,2026-09-15
la-lsue,LSU Eunice,education,state,LSUE;Louisiana State University Eunice,lsue.edu,direct,,curated,2026-09-15
la-pbrc,Pennington Biomedical Research Center,education|healthcare,state,PBRC;Pennington Biomedical,pbrc.edu,direct,LSU System; often on LONI space,curated,2026-09-15
la-tulane,Tulane University,education,private,Tulane;Tulane University,tulane.edu,direct,AS10349; 129.81.0.0/16,curated,2026-09-15
la-loyno,Loyola University New Orleans,education,private,Loyola;Loyola University New Orleans;Loyola New Orleans,loyno.edu,direct,,curated,2026-09-15
la-latech,Louisiana Tech University,education,state,Louisiana Tech;LA Tech;Louisiana Tech University,latech.edu,direct,,curated,2026-09-15
la-ulm,University of Louisiana Monroe,education,state,ULM;University of Louisiana at Monroe;Northeast Louisiana University,ulm.edu,direct,ARIN record still says Northeast Louisiana University,curated,2026-09-15
la-ull,University of Louisiana at Lafayette,education,state,ULL;UL Lafayette;University of Louisiana at Lafayette;University of Southwestern Louisiana,louisiana.edu,direct,,curated,2026-09-15
la-subr,Southern University and A&M College,education,state,Southern University;SUBR;Southern University System;SUS,subr.edu;sus.edu,direct,Baton Rouge; system office,curated,2026-09-15
la-nsula,Northwestern State University,education,state,NSU;Northwestern State University;Northwestern State University of Louisiana,nsula.edu,direct,Natchitoches,curated,2026-09-15
